method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
layer_offload,8192,1,3,4,220,28.38297188282013,steady
layer_offload,8192,1,4,5,16,28.375830966979265,steady
layer_offload,8192,1,5,6,15,28.386346995830536,steady
layer_offload,8192,1,6,7,15,31.385032925754786,steady
layer_offload,8192,1,7,8,15,28.40628707781434,steady
layer_offload,8192,1,8,9,15,28.390323277562857,steady
layer_offload,8192,1,9,10,15,28.387858998030424,steady
layer_offload,8192,1,10,11,15,28.411114122718573,steady
layer_offload,8192,1,11,12,15,28.35209621116519,steady
layer_offload,8192,1,12,13,15,28.369321022182703,steady
layer_offload,8192,1,13,14,15,28.390664141625166,steady
layer_offload,8192,1,14,15,15,28.39666185900569,steady
layer_offload,8192,1,15,16,15,28.394910041242838,steady
layer_offload,8192,1,16,17,15,28.42262201011181,steady
layer_offload,8192,1,17,18,15,28.377043083310127,steady
layer_offload,8192,1,18,19,15,29.889832250773907,steady
layer_offload,8192,1,19,20,15,28.564928099513054,steady
layer_offload,8192,1,20,21,15,28.396733105182648,steady
layer_offload,8192,1,21,22,15,28.432106133550406,steady
layer_offload,8192,1,22,23,15,28.4242439083755,steady
layer_offload,8192,1,23,24,15,28.403772972524166,steady
layer_offload,8192,1,24,25,15,28.4155011177063,steady
layer_offload,8192,1,25,26,15,28.465296607464552,steady
layer_offload,8192,1,26,27,15,28.41775491833687,steady
layer_offload,8192,1,27,28,15,28.446577955037355,steady
layer_offload,8192,1,28,29,15,29.446701053529978,steady
layer_offload,8192,1,29,30,15,28.5631837323308,steady
layer_offload,8192,1,30,31,15,28.47464010119438,steady
layer_offload,8192,1,31,32,15,28.437974862754345,steady
layer_offload,8192,2,1,2,34187,29.857882764190435,first_step
layer_offload,8192,2,2,3,198,28.38259981945157,steady
layer_offload,8192,2,3,4,220,28.387467842549086,steady
layer_offload,8192,2,4,5,16,28.368028812110424,steady
layer_offload,8192,2,5,6,15,28.40138878673315,steady
layer_offload,8192,2,6,7,15,28.424773830920458,steady
layer_offload,8192,2,7,8,15,28.408260084688663,steady
layer_offload,8192,2,8,9,15,28.497484046965837,steady
layer_offload,8192,2,9,10,15,28.454330284148455,steady
layer_offload,8192,2,10,11,15,28.40198017656803,steady
layer_offload,8192,2,11,12,15,28.417534194886684,steady
layer_offload,8192,2,12,13,15,28.435591142624617,steady
layer_offload,8192,2,13,14,15,28.400788083672523,steady
layer_offload,8192,2,14,15,15,28.433768078684807,steady
layer_offload,8192,2,15,16,15,28.444434981793165,steady
layer_offload,8192,2,16,17,15,28.42690795660019,steady
layer_offload,8192,2,17,18,15,28.47636304795742,steady
layer_offload,8192,2,18,19,15,28.425686061382294,steady
layer_offload,8192,2,19,20,15,28.404203709214926,steady
layer_offload,8192,2,20,21,15,28.548642992973328,steady
layer_offload,8192,2,21,22,15,28.447568882256746,steady
layer_offload,8192,2,22,23,15,28.407287783920765,steady
layer_offload,8192,2,23,24,15,28.44593720510602,steady
layer_offload,8192,2,24,25,15,28.423132374882698,steady
layer_offload,8192,2,25,26,15,28.439817018806934,steady
layer_offload,8192,2,26,27,15,28.414367698132992,steady
layer_offload,8192,2,27,28,15,28.44383381307125,steady
layer_offload,8192,2,28,29,15,28.448179829865694,steady
layer_offload,8192,2,29,30,15,28.422261122614145,steady
