name,direction,pinned,non_blocking,dedicated_stream,size_mib,bytes,trial,wall_ms,cuda_ms,wall_gib_per_s,cuda_gib_per_s
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,13,0.18224399536848068,0.16598400473594666,21.434176704159277,23.533894161754944
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,14,0.18327590078115463,0.16627199947834015,21.313495027719764,23.49313180965781
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,15,0.18364610150456429,0.16633599996566772,21.27053048225429,23.484092444246958
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,16,0.18530990928411484,0.16704000532627106,21.079552707626586,23.385116591502218
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,17,0.18530990928411484,0.16729600727558136,21.079552707626586,23.34933190345278
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,18,0.18355576321482658,0.16633599996566772,21.280998926894362,23.484092444246958
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,19,0.1840866170823574,0.16672000288963318,21.219630529971695,23.43000199313753
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,4194304,20,0.1832251437008381,0.16604800522327423,21.319399298045862,23.52482340722801
h2d_pageable_blocking,h2d,False,False,False,8,8388608,1,0.4721810109913349,0.45078399777412415,16.54556159214833,17.330916888302312
h2d_pageable_blocking,h2d,False,False,False,8,8388608,2,0.4806271754205227,0.45820799469947815,16.254802889920835,17.05011717467726
h2d_pageable_blocking,h2d,False,False,False,8,8388608,3,0.474696047604084,0.4528000056743622,16.457899827545955,17.253754200741938
h2d_pageable_blocking,h2d,False,False,False,8,8388608,4,0.5007851868867874,0.4790079891681671,15.600501381775443,16.309748849005597
h2d_pageable_blocking,h2d,False,False,False,8,8388608,5,0.47554681077599525,0.4535039961338043,16.4284563011822,17.226970581522632
h2d_pageable_blocking,h2d,False,False,False,8,8388608,6,0.47605903819203377,0.45443201065063477,16.410779700076983,17.1917906681231
h2d_pageable_blocking,h2d,False,False,False,8,8388608,7,0.4655779339373112,0.4468800127506256,16.78021965931902,17.482321377303673
h2d_pageable_blocking,h2d,False,False,False,8,8388608,8,0.4690950736403465,0.451231986284256,16.654406407153648,17.31371054683715
h2d_pageable_blocking,h2d,False,False,False,8,8388608,9,0.4680240526795387,0.44975998997688293,16.69251816284174,17.37037569838427
h2d_pageable_blocking,h2d,False,False,False,8,8388608,10,0.46659959480166435,0.4489920139312744,16.743477892047526,17.40008676679009
h2d_pageable_blocking,h2d,False,False,False,8,8388608,11,0.4638349637389183,0.4458880126476288,16.843275325827896,17.521215593149332
h2d_pageable_blocking,h2d,False,False,False,8,8388608,12,0.46678120270371437,0.4481920003890991,16.7369636025359,17.431145565332617
h2d_pageable_blocking,h2d,False,False,False,8,8388608,13,0.4627038724720478,0.4450879991054535,16.884449136465694,17.55270871311227
h2d_pageable_blocking,h2d,False,False,False,8,8388608,14,0.4659099504351616,0.4490239918231964,16.768261748226447,17.398847594487062
h2d_pageable_blocking,h2d,False,False,False,8,8388608,15,0.46457676216959953,0.44620800018310547,16.816381352169202,17.50865066694024
h2d_pageable_blocking,h2d,False,False,False,8,8388608,16,0.4704580642282963,0.4529919922351837,16.6061559871761,17.246441733883714
h2d_pageable_blocking,h2d,False,False,False,8,8388608,17,0.46534789726138115,0.44784000515937805,16.78851467037316,17.44484617273009
h2d_pageable_blocking,h2d,False,False,False,8,8388608,18,0.4696361720561981,0.45110398530960083,16.635217781021204,17.31862332060343
h2d_pageable_blocking,h2d,False,False,False,8,8388608,19,0.4665707238018513,0.44652798771858215,16.744513964227863,17.496103749097394
h2d_pageable_blocking,h2d,False,False,False,8,8388608,20,0.47046784311532974,0.45286399126052856,16.605810820708644,17.251316401320015
d2h_pageable_blocking,d2h,False,False,False,8,8388608,1,0.554495956748724,0.5373759865760803,14.089372347831782,14.538238021720618
d2h_pageable_blocking,d2h,False,False,False,8,8388608,2,0.5522221326828003,0.5336319804191589,14.147386599746351,14.640239503380986
d2h_pageable_blocking,d2h,False,False,False,8,8388608,3,0.5587548948824406,0.5405759811401367,13.981980420312405,14.45217744140711
d2h_pageable_blocking,d2h,False,False,False,8,8388608,4,0.5564410239458084,0.5386559963226318,14.040122247997402,14.503690766157643
d2h_pageable_blocking,d2h,False,False,False,8,8388608,5,0.5592852830886841,0.5415999889373779,13.968720858977433,14.424852584151942
d2h_pageable_blocking,d2h,False,False,False,8,8388608,6,0.5516312085092068,0.5341119766235352,14.162541711723348,14.627082600521017
d2h_pageable_blocking,d2h,False,False,False,8,8388608,7,0.5608177743852139,0.5412799715995789,13.930549916261675,14.433380893279072
d2h_pageable_blocking,d2h,False,False,False,8,8388608,8,0.5619307048618793,0.5440000295639038,13.90295979985697,14.361212454828118
d2h_pageable_blocking,d2h,False,False,False,8,8388608,9,0.5533439107239246,0.5351679921150208,14.118706013732258,14.598219839576842
d2h_pageable_blocking,d2h,False,False,False,8,8388608,10,0.5603069439530373,0.5428799986839294,13.943250363598587,14.390841473142062
d2h_pageable_blocking,d2h,False,False,False,8,8388608,11,0.5507702007889748,0.5337920188903809,14.184681721721045,14.635850150476621
